型番,カード名,レアリティ,画像URL,画像タイトル,元URL,source,src_admin_id
100/096,カイリューEX,,https://minnano-toreka.com/wp-content/uploads/2026/07/100-096_pcg-a5923.webp,カイリューEX[100/096],https://www.pokemon-card.com/assets/images/card_images/large/XY3/035774_P_KAIRYUEX.jpg,公式,5923
294/XY-P,マリオピカチュウ,,https://minnano-toreka.com/wp-content/uploads/2026/07/294-XY-P_pcg-a5916.webp,マリオピカチュウ[294/XY-P],https://www.pokemon-card.com/assets/images/card_images/large/XYP/032349_P_MARIOPIKACHUU.jpg,公式,5916
140/XY-P,ブラッキー,,https://minnano-toreka.com/wp-content/uploads/2026/07/140-XY-P_pcg-a5909.webp,ブラッキー[140/XY-P],https://www.pokemon-card.com/assets/images/card_images/large/XYP/031087_P_BURAKKI.jpg,公式,5909
032/106,パオジアン,,https://minnano-toreka.com/wp-content/uploads/2026/07/032-106_pcg-a5908.webp,パオジアン[032/106],https://www.pokemon-card.com/assets/images/card_images/large/SV8/046372_P_PAOJIAN.jpg,公式,5908
051/SV-P,セゴール,,https://minnano-toreka.com/wp-content/uploads/2026/07/051-SV-P_pcg-a5854.webp,セゴール[051/SV-P],https://www.pokemon-card.com/assets/images/card_images/large/SV-P/043307_P_SEGORU.jpg,公式,5854
221/172,ミュウツーVSTAR,,https://minnano-toreka.com/wp-content/uploads/2026/07/221-172_pcg-a5828.webp,ミュウツーVSTAR[221/172],https://www.pokemon-card.com/assets/images/card_images/large/S12a/042871_P_MIXYUUTSUVSTAR.jpg,公式,5828
050/050,ブレンドエネルギー 草炎超悪,,https://minnano-toreka.com/wp-content/uploads/2026/07/050-050_pcg-a5804.webp,ブレンドエネルギー 草炎超悪[050/050],https://www.pokemon-card.com/assets/images/card_images/large/BW5-Brz/027907_E_BURENDOENERUGIKUSAHONOOCHOUAKU.jpg,公式,5804
060/060,ダブル無色エネルギー,,https://minnano-toreka.com/wp-content/uploads/2026/07/060-060_pcg-a5803.webp,ダブル無色エネルギー[060/060],https://www.pokemon-card.com/assets/images/card_images/large/SM1S/033064_E_DABURUMUSHOKUENERUGI.jpg,公式,5803
085/087,カスミのやる気,,https://minnano-toreka.com/wp-content/uploads/2026/07/085-087_pcg-a5799.webp,カスミのやる気[085/087],https://www.pokemon-card.com/assets/images/card_images/large/CP6/032291_T_KASUMINOYARUKI.jpg,公式,5799
060/060,オーロラエネルギー,,https://minnano-toreka.com/wp-content/uploads/2026/07/060-060_pcg-a5797.webp,オーロラエネルギー[060/060],https://www.pokemon-card.com/assets/images/card_images/large/S1H/037730_E_ORORAENERUGI.jpg,公式,5797
031/032,おはなのかんむり,,https://minnano-toreka.com/wp-content/uploads/2026/07/031-032_pcg-a5753.webp,おはなのかんむり[031/032],https://www.pokemon-card.com/assets/images/card_images/large/CP3/031631_T_OHANANOKANMURI.jpg,公式,5753
013/020,葉隠れポンチョ,,https://minnano-toreka.com/wp-content/uploads/2026/07/013-020_pcg-a5749.webp,葉隠れポンチョ[013/020],https://www.pokemon-card.com/assets/images/card_images/large/SPZ/041917_T_HAGAKUREPONCHIXYO.jpg,公式,5749
398/SM-P,プレイヤーズセレモニー,,https://minnano-toreka.com/wp-content/uploads/2026/07/398-SM-P_pcg-a5741.webp,プレイヤーズセレモニー[398/SM-P],https://www.pokemon-card.com/assets/images/card_images/large/SMP/037194_T_PUREIYAZUSEREMONI.jpg,公式,5741
190/BW-P,ポケモンセンター,,https://minnano-toreka.com/wp-content/uploads/2026/07/190-BW-P_pcg-a5740.webp,ポケモンセンター[190/BW-P],https://www.pokemon-card.com/assets/images/card_images/large/BWP/028637_T_POKEMONSENTA.jpg,公式,5740
398/SM-P,プレイヤーズセレモニー,,https://minnano-toreka.com/wp-content/uploads/2026/07/398-SM-P_pcg-a5737.webp,プレイヤーズセレモニー[398/SM-P],https://www.pokemon-card.com/assets/images/card_images/large/SMP/037194_T_PUREIYAZUSEREMONI.jpg,公式,5737
190/BW-P,ポケモンセンター,,https://minnano-toreka.com/wp-content/uploads/2026/07/190-BW-P_pcg-a5736.webp,ポケモンセンター[190/BW-P],https://www.pokemon-card.com/assets/images/card_images/large/BWP/028637_T_POKEMONSENTA.jpg,公式,5736
